0, 0, 19416, 6472, -1, -1, -1, -1
1, 0.193593, 2155, 4470, -1, -1, -1, -1
2, 0.023895, 2823, 16474, -1, -1, -1, -1
3, 3.13077, 58784, 315656, 1.57584e+11, 2.8071e+06, 5, -1
7, 4.17938, 4669, 28118, 6.07158e+10, 2.20279e+06, -1, -1
3, 0.09122, 4822, 28965, 6.07158e+10, 2.14053e+06, 1, -1
6, 0.047984, 12167, 65919, 6.07158e+10, 941152, -1, -1
7, 0.68731, 5856, 33384, 6.07158e+10, 1.85469e+06, -1, -1
8, 0.276976, 5856, 30891, 6.07158e+10, 1.96549e+06, -1, -1
9, 0.058774, 5856, 30891, 6.07158e+10, 1.96549e+06, -1, -1
6, 0.046401, 10332, 52202, 5.98573e+10, 4.39642e+06, -1, -1
7, 0.567224, 5825, 30867, 130.108, 5.31207, -1, -1
8, 0.160163, 5825, 30615, 120.938, 5.07098, -1, -1
9, 0.058241, 5825, 30615, 120.938, 4.89522, -1, -1
6, 0.026006, 7907, 39566, 120.938, 4.77772, -1, -1
7, 0.339503, 5895, 30936, 120.938, 4.83725, -1, -1
8, 0.123567, 5895, 30869, 120.938, 4.79729, -1, -1
9, 0.069193, 5895, 30869, 120.938, 4.73008, -1, -1
3, 0.047742, 5924, 31028, 306.304, 4.86352, 0, -1
6, 0.083469, 22245, 116746, 306.304, 4.96778, -1, -1
7, 0.92925, 11592, 63360, 35.6491, 4.32143, -1, -1
8, 0.447247, 11592, 63041, 31.2303, 4.20723, -1, -1
9, 0.091808, 11592, 63041, 21.1506, 4.01427, -1, -1
6, 0.046537, 16132, 84556, 21.1506, 4.09328, -1, -1
7, 0.58848, 11624, 63389, 21.1506, 4.0122, -1, -1
8, 0.260467, 11624, 63302, 21.1506, 3.98668, -1, -1
9, 0.091481, 11624, 63302, 20.6698, 3.91309, -1, -1
6, 0.06225, 18572, 99094, 26.6872, 4.20866, -1, -1
7, 0.780979, 13543, 74475, 15.5416, 3.95241, -1, -1
8, 0.352321, 13543, 74337, 12.3816, 3.91265, -1, -1
9, 0.093132, 13543, 74337, 12.3816, 3.83096, -1, -1
6, 0.042018, 16104, 86106, 17.4774, 3.90459, -1, -1
7, 0.58841, 13484, 74117, 11.7796, 3.84109, -1, -1
8, 0.257857, 13484, 74071, 11.7796, 3.83139, -1, -1
9, 0.089692, 13484, 74071, 10.2513, 3.79481, -1, -1
6, 0.042334, 15441, 82700, 10.2513, 3.85086, -1, -1
7, 0.517471, 13458, 73963, 10.2513, 3.80429, -1, -1
8, 0.259596, 13458, 73948, 10.2513, 3.80044, -1, -1
9, 0.107152, 13458, 73948, 10.0158, 3.78085, -1, -1
6, 0.041962, 14898, 80288, 13.6382, 3.83063, -1, -1
7, 0.605687, 13571, 74610, 8.83688, 3.79214, -1, -1
8, 0.252863, 13571, 74592, 8.83688, 3.78742, -1, -1
9, 0.093477, 13571, 74592, 7.92118, 3.76912, -1, -1
7, 0.610101, 13469, 74067, 7.92118, 3.7694, -1, -1
4, 14.2817, 13469, 74067, 7.92118, 3.7694, -1, -1
5, 0.371919, 6370, 19113, 7.79419, 4.00973, -1, -1
-1, 18.1409, 6370, 19113, 7.79419, 4.00973, 0, 163
